Order ID,Order Date,Company Name,Product ID,Location,Dept,Qty,Purchaser,Phone Number,Email,Text Msg,Time Zone
51435,18.10.2018,Flashpoint,6,United States,Product Management,1084,Ellen Davage,713-220-5387,edavage0@ted.com,false,America/Chicago
50226,28.04.2018,Tekfly,2,United States,Services,1660,Ikey Wagstaffe,410-845-9117,iwagstaffe1@vk.com,true,America/New_York
57573,27.08.2018,Oyoba,8,France,Product Management,1018,Silvester Killik,589-879-2818,skillik2@accuweather.com,false,Europe/Paris
55016,02.11.2018,Leenti,8,Canada,Human Resources,2290,Delbert Archbould,764-800-8854,darchbould3@yolasite.com,false,America/Toronto
55523,01.07.2018,Eabox,5,Argentina,Research and Development,1663,Jaye Adair,249-265-6456,jadair4@prlog.org,false,America/Argentina/Cordoba
51153,19.11.2018,Quaxo,6,Japan,Services,2945,Yvon Proschke,164-749-5120,yproschke5@clickbank.net,true,Asia/Tokyo
54562,07.02.2018,Dynabox,4,Brazil,Support,948,Donetta Pentin,890-915-5508,dpentin6@com.com,false,America/Sao_Paulo
59407,26.04.2018,Skinix,5,Japan,Sales,2319,Eddi Abramovic,951-605-6181,eabramovic7@mapy.cz,true,Asia/Tokyo
53056,31.05.2018,Babbleopia,4,Japan,Training,2263,Stacy Avison,196-690-4538,savison8@mapquest.com,true,Asia/Tokyo
59757,13.11.2018,Eamia,5,Japan,Services,609,Bryn Weinham,116-635-3007,bweinham9@naver.com,false,Asia/Tokyo
56891,14.02.2018,Dabshots,1,Brazil,,2445,Millie Staden,977-553-3117,mstadena@sfgate.com,false,America/Belem
54354,22.02.2018,Realmix,1,France,Business Development,1388,Morten Carbin,622-124-2682,mcarbinb@guardian.co.uk,true,Europe/Paris
59687,20.03.2018,Livefish,2,Japan,Business Development,2283,Carmita Mieville,437-794-2469,cmievillec@dedecms.com,true,Asia/Tokyo
51852,29.03.2018,Jayo,1,France,Marketing,2823,Georgine Holson,279-461-9998,gholsond@tiny.cc,true,Europe/Paris
57692,26.02.2018,Roomm,3,Brazil,,2142,Rosabelle Bavin,107-337-8578,rbavine@ask.com,true,America/Sao_Paulo
54075,16.03.2018,Skaboo,5,Japan,,1960,Blisse Oaks,255-148-8693,boaksf@yelp.com,true,Asia/Tokyo
57634,14.09.2018,Jabbersphere,3,France,Engineering,163,Moselle Berntssen,322-727-0717,mberntsseng@barnesandnoble.com,true,Europe/Paris
54430,29.07.2018,Centidel,9,United States,Sales,2910,Joeann Philippeaux,239-491-1858,jphilippeauxh@tuttocitta.it,true,America/New_York
51595,10.09.2018,Yodoo,7,Germany,Engineering,2479,Bourke Rides,928-565-9014,bridesi@google.it,false,Europe/Berlin
51178,29.03.2018,Eire,4,Japan,Engineering,283,Dore Lindegard,587-320-8880,dlindegardj@cornell.edu,false,Asia/Tokyo
58532,18.10.2018,Trunyx,1,Canada,Accounting,1731,Miranda Medway,895-453-8855,mmedwayk@businessinsider.com,true,America/Montreal
56124,07.12.2018,Layo,4,United States,Research and Development,1799,Ilsa Aaronsohn,360-399-0672,iaaronsohnl@printfriendly.com,true,America/Los_Angeles
